OrderDetailID,OrderID,ProductID,Quantity
2001,1001,301,5
2002,1002,302,3
2003,1003,303,2
2004,1004,304,4
2005,1005,305,1
2006,1006,306,2
2007,1007,307,3
2008,1008,308,2
2009,1009,309,5
2010,1010,310,3
2011,1011,311,4
2012,1012,312,2
2013,1013,313,1
2014,1014,314,3
2015,1015,315,2
2016,1016,316,4
2017,1017,317,2
2018,1018,318,3
2019,1019,319,1
2020,1020,320,2
2021,1021,321,3
2022,1022,322,5
2023,1023,323,4
2024,1024,324,2
2025,1025,325,3
2026,1026,326,1
2027,1027,327,2
2028,1028,328,4
2029,1029,329,3
2030,1030,330,2
2031,1001,331,2
2032,1002,332,4
2033,1003,333,3
2034,1004,334,2
2035,1005,335,5
2036,1006,336,3
2037,1007,337,2
2038,1008,338,4
2039,1009,339,1
2040,1010,340,3
2041,1011,341,2
2042,1012,342,4
2043,1013,343,2
2044,1014,344,3
2045,1015,345,5
2046,1016,346,1
2047,1017,347,3
2048,1018,348,2
2049,1019,349,4
2050,1020,350,2
2051,1021,351,3
2052,1022,352,1
2053,1023,353,2
2054,1024,354,4
2055,1025,355,3
2056,1026,356,5
2057,1027,357,2
2058,1028,358,3
2059,1029,359,1
2060,1030,360,4
