SupplierID,SupplierName,City,Country,Mobile_number
501,"Supplier A","City A","Country A","+1 123-456-7890"
502,"Supplier B","City B","Country B","+1 234-567-8901"
503,"Supplier C","City C","Country C","+1 345-678-9012"
504,"Supplier D","City D","Country D","+1 456-789-0123"
505,"Supplier E","City E","Country E","+1 567-890-1234"
506,"Supplier F","City F","Country F","+1 678-901-2345"
507,"Supplier G","City G","Country G","+1 789-012-3456"
508,"Supplier H","City H","Country H","+1 890-123-4567"
509,"Supplier I","City I","Country I","+1 901-234-5678"
510,"Supplier J","City J","Country J","+1 012-345-6789"
511,"Supplier K","City K","Country K","+1 123-456-7890"
512,"Supplier L","City L","Country L","+1 234-567-8901"
513,"Supplier M","City M","Country M","+1 345-678-9012"
514,"Supplier N","City N","Country N","+1 456-789-0123"
515,"Supplier O","City O","Country O","+1 567-890-1234"
516,"Supplier P","City P","Country P","+1 678-901-2345"
517,"Supplier Q","City Q","Country Q","+1 789-012-3456"
518,"Supplier R","City R","Country R","+1 890-123-4567"
519,"Supplier S","City S","Country S","+1 901-234-5678"
520,"Supplier T","City T","Country T","+1 012-345-6789"
521,"Supplier U","City U","Country U","+1 123-456-7890"
522,"Supplier V","City V","Country V","+1 234-567-8901"
523,"Supplier W","City W","Country W","+1 345-678-9012"
524,"Supplier X","City X","Country X","+1 456-789-0123"
525,"Supplier Y","City Y","Country Y","+1 567-890-1234"
526,"Supplier Z","City Z","Country Z","+1 678-901-2345"
527,"Supplier AA","City AA","Country AA","+1 789-012-3456"
528,"Supplier BB","City BB","Country BB","+1 890-123-4567"
529,"Supplier CC","City CC","Country CC","+1 901-234-5678"
530,"Supplier DD","City DD","Country DD","+1 012-345-6789"
